"","State","Corp_Rate","year","Corp_Rate_Adj","Pers_Rate","Pers_Rate_Adj","Sales_Rate","Sales_Rate_Adj"
"375","Kentucky",6,2017,6,6.18,6,6,6.09499979019165
"376","Louisiana",8,2017,8,6,6,5,5
"377","Maine",8.93,2017,8.93000030517578,7.15,7.15,5.5,5.5
"378","Maryland",8.25,2017,8.25,5.83,5.75,6,6
"379","Massachusetts",8,2017,8,5.1,5.1,6.25,6.25
"380","Michigan",6,2017,6,4.25,4.25,6,6
"381","Minnesota",9.8,2017,9.80000019073486,10.15,9.85,6.875,6.875
"382","Mississippi",5,2017,5,5.07,5,7,7
"383","Missouri",6.25,2017,6.25,6.08,6,4.225,4.22499990463257
"384","Montana",6.75,2017,7,7.11,6.9,0,0
"385","Nebraska",7.81,2017,7.80999994277954,7.71,6.84,5.5,5.5
"386","Nevada",0,2017,0,0,0,6.85,7.18100023269653
"387","New Hampshire",8.2,2017,8.19999980926514,0,0,0,0.720000028610229
"388","New Jersey",9,2017,9,8.97,8.97,6.875,6.875
"389","New Mexico",6.2,2017,6.19999980926514,5.05,4.9,5.125,5.125
"390","New York",6.5,2017,6.5,8.82,8.82,4,4
"391","North Carolina",3,2017,3,5.5,5.499,4.75,4.75
"392","North Dakota",4.31,2017,7.80999994277954,2.9,2.9,5,5
"393","Ohio",0,2017,0,5,4.997,5.75,6.01000022888184
"394","Oklahoma",6,2017,6,5.07,5,4.5,4.5
"395","Oregon",7.6,2017,7.59999990463257,9.99,9.9,0,0
"396","Pennsylvania",9.99,2017,9.98999977111816,3.07,3.07,6,6
"397","Rhode Island",7,2017,7,5.99,5.99,7,7
"398","South Carolina",5,2017,5,7.08,7,6,6
"399","South Dakota",0,2017,0,0,0,4.5,4.5
"400","Tennessee",6.5,2017,6.5,0,0,7,7.03000020980835
"401","Texas",0,2017,0,0,0,6.25,7
"402","Utah",5,2017,5,5,5,5.95,5.94999980926514
"403","Vermont",8.5,2017,8.5,8.95,8.95,6,6
"404","Virginia",6,2017,6,5.83,5.75,5.3,5.30000019073486
"405","Washington",0,2017,0,0,0,6.5,8
"406","West Virginia",6.5,2017,6.5,6.5,6.5,6,6
"407","Wisconsin",7.9,2017,7.90000009536743,7.65,7.65,5,5
"408","Wyoming",0,2017,0,0,0,4,4
"409","Alabama",6.5,2018,6.5,5,5,4,4
"410","Alaska",9.4,2018,9.39999961853027,0,0,0,0
"411","Arizona",4.9,2018,4.90000009536743,4.54,4.54,5.6,5.59999990463257
"412","Arkansas",6.5,2018,6.5,6.9,6.9,6.5,6.5
"413","California",8.84,2018,8.84000015258789,13.3,13.3,7.25,7.25
"414","Colorado",4.63,2018,4.63000011444092,4.63,4.63,2.9,2.90000009536743
"415","Connecticut",7.5,2018,9,6.99,6.99,6.35,6.34999990463257
"416","Delaware",8.7,2018,8.69999980926514,6.6,6.6,0,1.99140000343323
"417","District of Columbia",8.25,2018,8.25,8.75,8.95,5.75,5.75
"418","Florida",5.5,2018,5.5,0,0,6,6
"419","Georgia",6,2018,6,6,6,4,4
"420","Hawaii",6.4,2018,6.40000009536743,11,11,4,4
"421","Idaho",7.4,2018,7.40000009536743,6.92,7.4,6,6
"422","Illinois",9.5,2018,9.5,4.95,4.95,6.25,6.25
"423","Indiana",6,2018,6,3.23,3.23,7,7
"424","Iowa",12,2018,12,8.98,8.98,6,6
"425","Kansas",7,2018,10,5.7,5.7,6.5,6.5
